ID,name
d1111111-1111-1111-1111-111111111111,Wormhole Engineering
d2222222-2222-2222-2222-222222222222,Stardust Logistics
d3333333-3333-3333-3333-333333333333,Cosmic Diplomacy
d0000004-0004-0004-0004-000000000004,Quantum Navigation
d0000005-0005-0005-0005-000000000005,Orbital Security
d0000006-0006-0006-0006-000000000006,Nebula Research
d0000007-0007-0007-0007-000000000007,Deep Space Rescue
d0000008-0008-0008-0008-000000000008,Terraforming Operations
d0000009-0009-0009-0009-000000000009,Asteroid Mining
d0000010-0010-0010-0010-000000000010,Starship Maintenance
d0000011-0011-0011-0011-000000000011,Interstellar Communications
d0000012-0012-0012-0012-000000000012,Exoplanet Survey
d0000013-0013-0013-0013-000000000013,Gravity Systems
d0000014-0014-0014-0014-000000000014,Temporal Studies
d0000015-0015-0015-0015-000000000015,Alien Relations
d0000016-0016-0016-0016-000000000016,Hyperdrive Development
d0000017-0017-0017-0017-000000000017,Galaxy Cartography
d0000018-0018-0018-0018-000000000018,Planetary Defense
d0000019-0019-0019-0019-000000000019,Cryogenic Sciences
d0000020-0020-0020-0020-000000000020,Spaceport Operations
d0000021-0021-0021-0021-000000000021,Stellar Medicine
d0000022-0022-0022-0022-000000000022,Probe Command
d0000023-0023-0023-0023-000000000023,Void Exploration
